,accession_number,author,copyright,credit_line,curatorial_department,date,dimensions,geography,id,location,medium,subtitle,title,url
6163,2003-159-3,"Ray K. Metzker, American, 1931 - 2014","Courtesy Laurence Miller Gallery, NYC","Bequest of Miriam Mednick Rothman (by exchange), 2003","Prints, Drawings, and Photographs",1971,"Image: 7 9/16 x 11 1/8 inches (19.2 x 28.3 cm)
Sheet: 10 7/8 x 14 inches (27.6 x 35.6 cm)","Photograph taken in Albuquerque, New Mexico, United States, North and Central America",275540,Currently not on view,Gelatin silver print,,Untitled (Albuquerque Bus Station),http://www.philamuseum.org/collections/permanent/275540.html
6164,1981-12-3,"Ray K. Metzker, American, 1931 - 2014","Courtesy Laurence Miller Gallery, NYC","Purchased with a grant from the National Endowment for the Arts and matching funds contributed by Harvey S. Shipley Miller, 1981","Prints, Drawings, and Photographs",1981,"Image: 11 15/16 × 17 5/16 inches (30.4 × 44 cm)
Sheet: 15 15/16 x 19 7/8 inches (40.5 x 50.5 cm)","Photograph taken in United States, North and Central America",150036,Currently not on view,Gelatin silver print,From the series Pictus Interruptus,Untitled,http://www.philamuseum.org/collections/permanent/150036.html
6165,1968-24-626,"Emil Ganso, American (born Germany), 1895 - 1941",,"Purchased with the Lola Downin Peck Fund from the Carl and Laura Zigrosser Collection, 1968","Prints, Drawings, and Photographs",1920s-1930s,"Image: 4 1/8 x 5 1/8 inches (10.5 x 13 cm)
Sheet: 5 1/8 x 6 3/16 inches (13 x 15.7 cm)","Made in United States, North and Central America",64412,Currently not on view,Wood engraving,,Bather Seated near Tub,http://www.philamuseum.org/collections/permanent/64412.html
6166,1965-86-8233,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","February 29, 1944",Image and sheet: 9 7/8 × 7 1/8 inches (25.1 × 18.1 cm),"Photograph taken in New York, New York, United States, North and Central America",244945,Currently not on view,Gelatin silver print,,Muriel Rahn as Carmen Jones,http://www.philamuseum.org/collections/permanent/244945.html
6167,1945-65-22(35b),"Artist/maker unknown, Indian",,"The Philip S. Collins Collection, gift of Mrs. Philip S. Collins in memory of her husband, 1945",South Asian Art,1743,14 × 10 inches (35.6 × 25.4 cm),"Made in Deccan Region, India, Asia Possibly made in Hyderabad, Telangana, India, Asia",338332,Currently not on view,"Opaque watercolor, gold, and ink on paper",Gulshan-i 'Ishq (Rose Garden of Love),Page of Calligraphy,http://www.philamuseum.org/collections/permanent/338332.html
6168,1985-52-13846a,"Christoph Nathe, German, 1753 - 1806",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Late 18th - early 19th century,"Plate: 4 5/16 x 4 3/4 inches (11 x 12.1 cm)
Sheet: 14 13/16 x 10 13/16 inches (37.6 x 27.5 cm)","Made in Germany, Europe",13842,Currently not on view,Etching,"Plate  from Sammlung radirter Blaetter von Nathe (Leizpig: Rostische Kunsthandlung, 1808)",House in the Sunshine,http://www.philamuseum.org/collections/permanent/13842.html
6169,1938-23-352,"Artist/maker unknown, European or American",,"The George H. Lorimer Collection, 1938",American Art,1763-1860,Approximately: 1 5/8 x 3/8 x 2 3/4 inches (4.1 x 0.9 x 7 cm),"Made in United States, North and Central America or Europe",202910,"Gallery 114, American Art, first floor, Case 12, English ""Country Fair"" Glass & Stiegel Glass",Non-lead glass (colorless),,"Smelling Bottle or ""Pungent""",http://www.philamuseum.org/collections/permanent/202910.html
6170,1926-50-5,"John Sartain, American (born England), 1808 - 1897. After John B. Neagle, American, 1796 - 1865. Published by T. B. Peterson, 98 Chestnut St., Philadelphia.",,"Gift of Augustus W. Jordan, 1926","Prints, Drawings, and Photographs",1843,Plate: 24 5/8 x 16 3/4 inches (62.5 x 42.5 cm),"Published in Philadelphia, Pennsylvania, United States, North and Central America",144043,Currently not on view,Mezzotint and etching,,Henry Clay,http://www.philamuseum.org/collections/permanent/144043.html
6171,2012-172-169,"Joseph Drayton, American, 1795 - 1856",,"Gift of the McNeil Americana Collection, 2012","Prints, Drawings, and Photographs",c. 1820,"Image: 4 1/16 × 7 1/4 inches (10.3 × 18.4 cm)
Sheet: 4 7/16 × 7 7/16 inches (11.2 × 18.9 cm)",,323074,Currently not on view,Hand-colored etching and aquatint,"Plate from The Analectic Magazine, February, 1820","View near Bordenton [sic], from the Gardens of the Count de Survilliers",http://www.philamuseum.org/collections/permanent/323074.html
6172,1976-97-8,"Jean Charlot, American (born France), 1898 - 1979. Printed by Lynton Kistler, Los Angeles, 1897 - 1993.","© Artists Rights Society (ARS), New York","Purchased with the Lola Downin Peck Fund from the Carl and Laura Zigrosser Collection, 1976","Prints, Drawings, and Photographs",1933,"Image: 9 5/8 × 7 1/8 inches (24.4 × 18.1 cm)
Image: 12 1/8 × 9 1/2 inches (30.8 × 24.1 cm)","Made in Los Angeles, California, United States, North and Central America",261535,Currently not on view,Lithograph,,Nude Seated,http://www.philamuseum.org/collections/permanent/261535.html
6173,1986-26-368,"Artist/maker unknown, Italian",,"The Henry P. McIlhenny Collection in memory of Frances P. McIlhenny, 1986","Prints, Drawings, and Photographs",c. 1832,Sheet: 4 5/16 x 5 5/8 inches (11 x 14.3 cm),"Made in Italy, Europe",82829,Currently not on view,Opaque watercolor on beige wove paper,From the series Views of Naples,Eruption of 1832 at Night,http://www.philamuseum.org/collections/permanent/82829.html
6174,Cat. 26,"Workshop of Apollonio di Giovanni di Tommaso, Italian (active Florence), 1415/17 - 1465, and Marco del Buono di Marco, Italian, 1403 - 1489.",,"John G. Johnson Collection, 1917",European Painting,c. 1460,29 3/8 x 19 1/2 inches (74.6 x 49.5 cm),"Made in Italy, Europe",102016,Currently not on view,Tempera and tooled gold on panel with vertical grain,,Virgin and Child Enthroned with Saint Benedict and a Bishop Saint,http://www.philamuseum.org/collections/permanent/102016.html
6175,1965-86-4390,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","May 13, 1955",Image and sheet: 9 5/8 × 6 5/16 inches (24.5 × 16 cm),"Photograph taken in New York, New York, United States, North and Central America",239986,Currently not on view,Gelatin silver print,,Ben Gazzara,http://www.philamuseum.org/collections/permanent/239986.html
6176,1952-87-1k,"Henri Matisse, French, 1869 - 1954. Written by Stéphane Mallarmé, French, 1842 - 1898. Plates printed by Roger Lacourière, French, 1892 - 1966. Text printed by Léon Pichon, Paris. Published by Albert Skira et cie, Lausanne, Switzerland.","© Succession H. Matisse, Paris / Artists Rights Society (ARS), New York","Gift of Mrs. W. Averell Harriman, 1952","Prints, Drawings, and Photographs",1930-1932,Sheet: 12 13/16 x 9 13/16 inches (32.5 x 25 cm),"Made in Lausanne, Switzerland, Europe",228653,Currently not on view,Etching,"Plate 11 from Poésies de Stéphane Mallarmé. Eaux-fortes originales de Henri Matisse (Lausanne: Albert Skira et Cie., 1932)Illustration to the poem ""Scène. La Nourrice - Hérodiade""","Vignette with String of Beads, Brooch, and Belt (with Etched ""Remarque"" of Dancing Women)",http://www.philamuseum.org/collections/permanent/228653.html
6177,1985-52-8022,"Christian Ludwig von Hagedorn, German, 1717 - 1780. Manner of Rembrandt Harmensz. van Rijn, Dutch (active Leiden and Amsterdam), 1606 - 1669.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1745,Sheet: 4 3/4 x 3 9/16 inches (12 x 9.1 cm),"Made in Mainz, Rhineland-Palatinate, Germany, Europe",8961,Currently not on view,Etching,VI Versuch,Bearded Man with a Globe,http://www.philamuseum.org/collections/permanent/8961.html
6178,1937-45-1mm,"Artist/maker unknown, Chinese, for export",,"Bequest of Mrs. Winifred Bell, 1937",East Asian Art,Second half of 19th century,6 15/16 × 3 15/16 inches (17.7 × 10 cm),"Made in China, Asia",198128,Currently not on view,Watercolor on pith paper,,Performer Juggling Knives,http://www.philamuseum.org/collections/permanent/198128.html
6179,1985-52-11589,"Égide (or Egidius) Linnig, Belgian, 1821 - 1864",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",1842,"Plate: 2 15/16 x 3 9/16 inches (7.4 x 9 cm)
Sheet: 3 9/16 x 4 5/16 inches (9.1 x 10.9 cm)","Made in Antwerp, Belgium, Europe",18917,Currently not on view,Etching and drypoint with plate tone,,Sailboat at Dusk with Grassy Coast at Right,http://www.philamuseum.org/collections/permanent/18917.html
6180,1965-86-2134,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","July 15, 1941",Image and sheet: 9 15/16 × 7 11/16 inches (25.2 × 19.5 cm),"Probably made in New York, New York, United States, North and Central America",237773,Currently not on view,Gelatin silver print,,Julius Perkins Jr. with Tallulah Bankhead's Lion Cub Winston Churchill,http://www.philamuseum.org/collections/permanent/237773.html
6181,1985-52-1735,"Giorgio Ghisi, Italian, 1520 - 1582. Possibly after Perino del Vaga, Italian, 1501 - 1547.",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1540-1555,"Plate: 11 1/8 x 8 1/8 inches (28.2 x 20.7 cm)
Sheet: 11 1/4 x 8 7/16 inches (28.6 x 21.4 cm)","Made in Paris, France, Europe",26621,Currently not on view,Engraving,,Venus and Vulcan Seated on a Bed,http://www.philamuseum.org/collections/permanent/26621.html
6182,2001-62-1377,"M. Branger, French, active Paris, early 20th century",,"125th Anniversary Acquisition. The Lynne and Harold Honickman Gift of the Julien Levy Collection, 2001","Prints, Drawings, and Photographs",1913,"Image: 4 7/16 x 6 7/16 inches (11.2 x 16.3 cm)
Sheet: 5 1/8 x 7 1/16 inches (13 x 17.9 cm)","Photograph taken in Paris, France, Europe",112205,Currently not on view,Gelatin silver print,,The Velo Torpille Bunau-Varilla,http://www.philamuseum.org/collections/permanent/112205.html
6183,1985-52-35880,"Joseph Parrocel, French, 1646 - 1704",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Late 17th century,Sheet: 6 3/16 x 7 3/16 inches (15.7 x 18.3 cm),"Made in Paris, France, Europe",6794,Currently not on view,"Etching and engraving, printed from 2 plates",Les Mages se posternent en terre et adorent Iesvs=c,The Adoration of the Magi,http://www.philamuseum.org/collections/permanent/6794.html
6184,"1997-53-1a,b","James Makins, American, born 1946",,"Gift of Helen and Jack R Bershad, 1997",American Art,c. 1980s,9 3/8 x 8 1/2 x 5 1/4 inches (23.8 x 21.6 cm),"Made in United States, North and Central America",271726,Currently not on view,Glazed porcelain,,Coffeepot with Lid,http://www.philamuseum.org/collections/permanent/271726.html
6185,2001-50-2(48),"Edwin Hale Lincoln, American, 1848 - 1938",,"125th Anniversary Acquisition. Gift of Beatrice B. Garvan, 2001","Prints, Drawings, and Photographs",1929,"Image and sheet: 7 7/16 × 9 1/2 inches (18.9 × 24.1 cm)
Mount (primary): 8 5/8 × 10 7/16 inches (21.9 × 26.5 cm)
Mount (secondary): 11 1/8 × 13 7/8 inches (28.2 × 35.2 cm)","Photograph taken in United States, North and Central America",180767,Currently not on view,Platinum print,The Berkshire Hills,"A Touch of Winter, Lenox",http://www.philamuseum.org/collections/permanent/180767.html
6186,1928-42-857,"Manuel Salvador Carmona, Spanish, 1734 - 1820. After Jacopo Amigoni, Italian, 1682 - 1752.",,"The Charles M. Lea Collection, 1928","Prints, Drawings, and Photographs",1796,Plate: 12 3/4 × 8 3/4 inches (32.4 × 22.2 cm),"Made in Spain, Europe",154250,Currently not on view,Engraving,,"Portrait of Don Zenón de Somodevilla, Marqués de la Ensenada",http://www.philamuseum.org/collections/permanent/154250.html
6187,1965-86-2671,"Carl Van Vechten, American, 1880 - 1964",Research inconclusive. Copyright may apply.,"Gift of John Mark Lutz, 1965","Prints, Drawings, and Photographs","July 15, 1935",Image and sheet: 7 1/16 × 9 3/4 inches (17.9 × 24.7 cm),"Photograph taken in Connecticut, United States, North and Central America",238440,Currently not on view,Gelatin silver print,,Ralph Buckman,http://www.philamuseum.org/collections/permanent/238440.html
6188,1985-52-11299,"Frédéric Théodore Faber, Belgian, 1782 - 1844",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Date unknown,"Plate: 7 13/16 x 5 11/16 inches (19.9 x 14.5 cm)
Sheet: 14 x 10 3/16 inches (35.5 x 25.9 cm)","Made in Belgium, Europe",77308,Currently not on view,Etching and aquatint,,"Two Compositions: Head of a Boy; beneath, Fragment of a Landscape?",http://www.philamuseum.org/collections/permanent/77308.html
6189,1985-52-4518,"Antonio Tempesta, Italian, 1555 - 1630",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",Late 16th - early 17th century,Sheet: 10 11/16 x 8 inches (27.2 x 20.3 cm),"Made in Rome, Italy, Europe",29512,Currently not on view,Etching,,Illustration for Canto XIV,http://www.philamuseum.org/collections/permanent/29512.html
6190,1985-52-13663,"Edmund Koken, German, 1814 - 1872",,"The Muriel and Philip Berman Gift, acquired from the John S. Phillips bequest of 1876 to the Pennsylvania Academy of the Fine Arts, with funds contributed by Muriel and Philip Berman, gifts (by exchange) of Lisa Norris Elkins, Bryant W. Langston, Samuel S. White 3rd and Vera White, with additional funds contributed by John Howard McFadden, Jr., Thomas Skelton Harrison, and the Philip H. and A.S.W. Rosenbach Foundation, 1985","Prints, Drawings, and Photographs",c. 1846-1847,"Image: 5 7/8 x 8 11/16 inches (15 x 22 cm)
Plate: 7 13/16 x 9 5/16inches (19.8 x 23.6cm)
Sheet: 10 11/16 x 14 5/16inches (27.2 x 36.3cm)","Made in Hannover, Lower Saxony, Germany, Europe",10393,Currently not on view,Etching,Plate from the series Sieben Blatt Original -Radirungen vom Maler E. Koken (Berlin c. 1848),Landscape with Thatched-Roofed Houses by a Pond,http://www.philamuseum.org/collections/permanent/10393.html
